campaign_code,Date,Profile name,Profile followers,Platform,Content type,Media type,Labels,Total impressions,Total reach,Engagements,Total likes,Total comments,Total shares,Saves,Media views,Exits,Taps forward,Taps back,Completion rate,Video view count,Content ID
JamesJean_Blossom_26,2026-08-13 17:07:02,Avant Arte,2922078,instagram,story,photo,Edition;JamesJean_Blossom_26,6206,5609,0,,0,0,,6206,607,4546,122,0.15001611,,18221290063333906
JamesJean_Blossom_26,2026-08-13 17:06:30,Avant Arte,2922078,instagram,story,photo,Edition;JamesJean_Blossom_26,7700,6859,0,,0,0,,7700,754,4623,61,0.29376623,,18161403874487537
ZengFanzhi_LE_26,2026-08-12 10:04:32,Avant Insiders,72717,instagram,story,photo,Edition;ZengFanzhi_LE_26,650,569,1,,1,0,,650,80,374,5,0.29384616,,18110931382799677
ZengFanzhi_LE_26,2026-08-12 10:03:30,Avant Arte,2922005,instagram,story,photo,Edition;ZengFanzhi_LE_26,10661,9642,1,,1,0,,10661,1305,6629,86,0.24772535,,17996264576809576
GlennLigon_LE_26,2026-08-11 16:00:02,Avant Arte,13484,twitter,post,photo,Edition;GlennLigon_LE_26,638,,20,8,0,0,,,,,,,,2087207421009653842
GlennLigon_LE_26,2026-08-11 16:59:19,Avant Arte,2922014,instagram,story,photo,Edition;GlennLigon_LE_26,11512,9927,1,,1,3,,11512,1420,6416,75,0.31280404,,17949606735027410
Abdulnasser_LE_26,2026-08-10 14:00:23,Avant Arte,2921880,instagram,story,photo,Abdulnasser_LE_26;Edition,12602,11124,1,,1,1,,12602,1581,7565,96,0.26662433,,17874331254546283
AndyWarhol_TL_26,2026-08-06 17:00:03,Avant Arte,2920258,instagram,post,carousel,AndyWarhol_TL_26;Edition,542612,223371,13611,10895,48,1255,1203,542612,,,,,,17902827348532321
Tschabalal_LE_25,2026-08-05 17:01:58,Avant Insiders,72753,instagram,story,photo,Edition;Tschabalal_LE_25,573,470,0,,0,0,,573,84,306,10,0.30191973,,18120221620885431
Tschabalal_LE_25,2026-08-05 17:00:04,Avant Arte,2920184,instagram,collaboration,carousel,Edition;Tschabalal_LE_25,112412,41716,1874,1660,24,75,98,112412,,,,,,18114693379935018
Tschabalal_LE_25,2026-08-05 17:00:03,Avant Insiders,72753,instagram,post,carousel,Edition;Tschabalal_LE_25,4713,2046,118,105,1,7,6,4713,,,,,,18157871944484770
Tschabalal_LE_25,2026-08-05 16:59:53,Avant Arte,2920184,instagram,story,photo,Edition;Tschabalal_LE_25,10533,9270,0,,0,1,,10533,1374,6527,61,0.24409,,17927287980387446
