release,campaign_code,product_title,product_ids,skus,units_paid,units_refunded,units_draft_pending,draft_customers,units_entrant_drafts,units_entry_drafts,units_winner_drafts,units_winner_drafts_lapsed,units_from_drafts,units_private_room,list_price_eur,first_order,last_order,last_draft,prints_offered_paid,frames_paid,prints_offered_entry_drafts,frames_entry_drafts
Abdulnasser Gharem · Hemisphere · 2026 Q3,Abdulnasser_LE_26,Hemisphere,15968075678078,ABDUL-HEMIS-PE-PREORDER|ABDUL-HEMIS-PE-PRIVATE|ABDUL-HEMIS-PE-DRAW|ABDUL-HEMIS-PE-ARTIST,20,0,1,1,0,3,0,0,17,3,4000.0,2026-07-23,2026-08-25,2026-08-27,20,10.0,3,2.0
Adam Pendleton · Multiple · 2025 Q1,Multiple_Amphorae_24,Untitled (Blue Amphora),14865036902782,PENDL-UNTIT-SE-DRAW|PENDL-UNTIT-SE-PREORDER,10,0,0,0,0,0,0,0,10,0,6000.0,2024-12-05,2025-01-28,,0,0.0,0,0.0
Ahmed Mater · Magnetism 25 · 2025 Q4,AhmedMat_Magnet_25,Magnetism 25,15566847312254,MATER-MAGNE-PE-APSALE|MATER-MAGNE-PE-PRIVATE|MATER-MAGNE-PE-AUCTION,40,0,1,1,0,0,0,0,5,4,4500.0,2025-10-03,2025-10-21,2026-09-18,40,35.0,0,0.0
Ahmed Mater · Multiple · 2026 Q3,AhmedM_Salam_26,Hurriya,15948517048702,MATER-HURRI-PE-ARTIST|MATER-HURRI-PE-DRAW,7,0,1,1,0,0,0,0,6,1,4000.0,2026-07-06,2026-08-25,2026-07-28,7,6.0,0,0.0
Ahmed Mater · Multiple · 2026 Q3,AhmedM_Salam_26,Ray,15948516983166,MATER-RAYRA-PE-POSTRELEASE|MATER-RAYRA-PE-ARTIST|MATER-RAYRA-PE-DRAW,8,0,1,1,0,0,0,0,7,1,4000.0,2026-07-06,2026-08-25,2026-07-28,8,4.0,0,0.0
Ahmed Mater · Multiple · 2026 Q3,AhmedM_Salam_26,Salam,15948516950398,MATER-SALAM-PE-PRIVATE|MATER-SALAM-PE-ARTIST|MATER-SALAM-PE-POSTRELEASE|MATER-SALAM-PE-PREORDER|MATER-SALAM-PE-DRAW,21,0,3,1,0,0,0,0,16,5,4000.0,2026-07-01,2026-09-18,2026-07-28,21,14.0,0,0.0
Ai Weiwei · Arm · Multiple · 2026 Q2,AiWeiwei_FingerSE_25,Blue Arm,15669077410174,AWEIW-ALBLU-SE-INSIDERS|AWEIW-ALBLU-SE-PRIVATE|AWEIW-ALBLU-SE-PREORDER|AWEIW-ALBLU-SE-DRAW,48,0,0,0,0,0,0,0,40,8,1650.0,2026-03-30,2026-04-22,2026-04-21,0,0.0,0,0.0
Ai Weiwei · Arm · Multiple · 2026 Q2,AiWeiwei_FingerSE_25,Red Arm,15669077934462,AWEIW-ALRED-SE-PRIVATE|AWEIW-ALRED-SE-DRAW|AWEIW-ALRED-SE-PREORDER,48,0,0,0,0,0,0,0,41,7,1650.0,2026-03-30,2026-04-23,2026-04-22,0,0.0,0,0.0
Ai Weiwei · Arm · Multiple · 2026 Q2,AiWeiwei_FingerSE_25,Red Arm & Blue Arm,15669077868926,AWEIW-ALDUO-SE-INSIDERS|AWEIW-ALDUO-SE-DRAW|AWEIW-ALDUO-SE-PRIVATE,50,0,0,0,0,0,0,0,42,8,3300.0,2026-03-30,2026-04-17,2026-04-21,0,0.0,0,0.0
Ai Weiwei · Combat fear with truth · 2025 Q1,AiWeiwei_Snake_25,Combat fear with truth,14874292257150,AWEIW-CFWTR-TL|AWEIW-CFWTR-TL-APGIFT|AWEIW-CFWTR-TL-PRIVATE|AWEIW-CFWTR-TL-PREORDER,238,0,0,0,0,0,0,0,16,109,850.0,2025-01-23,2025-06-19,,238,78.0,0,0.0
Ai Weiwei · Everyone is a dragon · 2024 Q3,AiWeiwei_Dragon_24,Everyone is a dragon,9615337226578,AWEIW-PRINT-TL-PRIVATE|AWEIW-PRINT-TL-INSIDERS|AWEIW-PRINT-TL-LACMASTORE|AWEIW-PRINT-TL-GIFT|AWEIW-PRINT-TL-FORUM|AWEIW-PRINT-TL-LACMASTOREDISPLAY|AWEIW-PRINT-TL-PREORDER|AWEIW-PRINT-TL,1111,1,0,0,0,0,0,0,42,432,850.0,2024-08-27,2026-06-18,,1111,455.0,0,0.0
Ai Weiwei · Glass Vase · 2023 Q3,27.07_Aiweiwei_SE,Glass Vase,8343472079186,AIWEI-CCOLA-SE-PREORDER|AIWEI-CCOLA-SE-PRIVATE|AIWEI-CCOLA-SE-AP|AIWEI-CCOLA-SE|AIWEI-CCOLA-SE-INSIDERS,301,0,0,0,0,0,0,0,37,258,800.0,2023-04-03,2023-09-01,,0,0.0,0,0.0
Ai Weiwei · Guar · Multiple · 2026 Q2,AiWeiwei_Guardian2_26,Guardian (Blue),15936627310974|15871286215038,AWEI1-GUARB-TL|AWEI1-GUARB-TL-POSTRELEASE|AWEI1-GUARB-TL-FACTORY|AWEI1-GUARB-TL-PRIVATE|AWEI1-GUARB-TL-PREORDER,260,0,3,3,0,0,0,0,10,82,850.0,2026-05-13,2026-07-15,2026-08-21,260,112.0,0,0.0
Ai Weiwei · Guar · Multiple · 2026 Q2,AiWeiwei_Guardian2_26,Guardian (Green),15871286247806|15936627081598,AWEI1-GUARG-TL-FACTORY|AWEI1-GUARG-TL|AWEI1-GUARG-TL-PRIVATE|AWEI1-GUARG-TL-POSTRELEASE|AWEI1-GUARG-TL-PREORDER,274,0,3,2,0,0,0,0,15,86,850.0,2026-05-02,2026-08-12,2026-08-21,274,111.0,0,0.0
Ai Weiwei · Guar · Multiple · 2026 Q2,AiWeiwei_Guardian2_26,Guardian (Purple),15871286182270|15936549618046,AWEI1-GUARP-TL-POSTRELEASE|AWEI1-GUARP-TL-PREORDER|AWEI1-GUARP-TL-FACTORY|AWEI1-GUARP-TL|AWEI1-GUARP-TL-PRIVATE,533,0,3,2,0,0,0,0,23,166,850.0,2026-04-30,2026-08-31,2026-08-21,533,211.0,0,0.0
Ai Weiwei · Guardian · 2024 Q1,2024_AiWeiWei_TL,Guardian,8726722543954,AWEIW-GUARD-TL-PREORDER|AWEIW-GUARD-TL-PRIVATE|AWEIW-GUARD-TL-STAFF|AWEIW-GUARD-TL-APGIFT|AWEIW-GUARD-TL-STEAM|AWEIW-GUARD-TL-ARTIST|AWEIW-GUARD-TL-INSIDERS|AWEIW-GUARD-TL-STAFFGIFT|AWEIW-GUARD-TL|AWEIW-GUARD-TL-MISSOUT,1602,2,1,1,0,0,0,0,35,596,650.0,2024-02-06,2026-06-29,2024-09-25,1602,394.0,0,0.0
Ai Weiwei · Middle Finger in Red · 2023 Q1,30.03_Aiweiwei_TL,Middle Finger in Red,8336487842130,AIWEI-MIDFR-PE|AIWEI-MIDFR-PE-STAFF|AIWEI-MIDFR-PE-MISSOUT|AIWEI-MIDFR-PE-APSALE|AIWEI-MIDFR-PE-PREORDER|AIWEI-MIDFR-PE-DMM|AIWEI-MIDFR-PE-INSIDERS|AIWEI-MIDFR-PE-PRIVATE,1286,10,0,0,0,0,0,0,58,96,410.0,2023-03-15,2026-02-13,,0,0.0,0,0.0
Ai Weiwei · Multiple · 2023 Q2,11.05_Aiweiwei_PE,Free Speech,8343424336210,AIWEI-FSPCH-PE-PRIVATE|AIWEI-FSPCH-PE-INSIDERS|AIWEI-FSPCH-PE-PREORDER|AIWEI-FSPCH-PE,103,1,0,0,0,0,0,0,7,85,1200.0,2023-04-04,2024-05-09,,0,0.0,0,0.0
Ai Weiwei · Multiple · 2023 Q2,11.05_Aiweiwei_PE,Human Flow,8343423222098,AIWEI-HFLOW-PE-INSIDERS|AIWEI-HFLOW-PE-PREORDER|AIWEI-HFLOW-PE|AIWEI-HFLOW-PE-PRIVATE,103,2,0,0,0,0,0,0,11,86,1250.0,2023-04-03,2024-08-09,,0,0.0,0,0.0
