id,release,source,start,end,closed,first_paid,feed,feed_before,feed_after,rows,sold,units_paid_orders,products,outside_before,outside_after,pending,hero,count,channels,channels_direct_spread,trail,waterfall,paid_units,paid_channel,framing,close,close_pct_units,hero_projected,no_event,no_event_high,disagreement
abdulnasser_le_26,Abdulnasser Gharem · Hemisphere · 2026 Q3,orders,2026-06-23,2026-08-27,True,2026-07-23,20.0,0,0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,6.7,6.7,20.0,20.0,20.0,20.0,0.0,False,
dali_le_26,Salvador Dali Estate · Multiple · 2026 Q3,,,,,,,,,1092.0,1071.0,1092.0,1092.0,,,,1090.0,1090.0,1090.0,1090.1,1089.99,1090.0,575.1,575.1,1092.0,1090.0,1111.0,1090.0,,,close 1090.0 vs the card's pct x edition 1111.0
glennligon_le_26,Glenn Ligon · Multiple · 2026 Q3,,,,,,,,,151.0,151.0,151.0,151.0,,,,151.0,151.0,151.0,151.0,151.0,150.0,8.8,8.8,151.0,150.0,150.0,150.0,,,
jamesjean_blossom_26,James Jean · Multiple · 2026 Q3,,,,,,,,,587.0,586.0,587.0,587.0,,,,591.0,591.0,591.1,590.9,591.01,591.0,192.1,192.1,587.0,591.0,592.0,591.0,,,
julianschnabel_le_26,Julian Schnabel · Multiple · 2026 Q3,,,,,,,,,125.0,109.0,125.0,125.0,,,,142.0,142.4,142.5,142.4,142.4,142.0,32.3,32.3,125.0,190.2,206.2,190.0,,,close 190.2 vs the card's pct x edition 206.2
mondrian_le_26,Piet Mondrian Estate · Multiple · 2026 Q3,,,,,,,,,889.0,877.0,889.0,889.0,,,,888.0,888.0,888.0,887.9,888.01,888.0,236.2,236.2,889.0,888.0,900.0,888.0,,,close 888.0 vs the card's pct x edition 900.0
parra_le_26,Parra · Multiple · 2026 Q3,,,,,,,,,297.0,297.0,297.0,297.0,,,,300.0,300.0,299.9,299.9,299.99,300.0,71.8,71.8,297.0,300.0,300.0,300.0,,,
warhol_le_26,Andy Warhol Estate · Multiple · 2026 Q3,orders,2026-09-01,2026-09-24,False,2026-09-01,698.0,0,0,698.0,698.0,698.0,698.0,0.0,0.0,0.0,898.0,897.6,897.6,897.5,897.6,898.0,415.9,415.9,698.0,1452.5,1452.4,1452.0,0.0,False,
zengfanzhi_le_26,Zeng Fanzhi · Multiple · 2026 Q3,,,,,,,,,61.0,61.0,61.0,61.0,,,,65.0,65.0,64.9,64.9,64.99,65.0,15.1,15.1,61.0,65.0,65.0,65.0,,,
a_lei_magesian_2022_q3,A-Lei · Magesian · 2022 Q3,orders,2026-06-26,2026-09-24,False,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,0.0,False,
aaron_johnson_suburban_dreams_2023_q2,Aaron Johnson · Suburban Dreams · 2023 Q2,orders,2026-06-26,2026-09-24,False,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,0.0,False,
adam_pendleton_multiple_2025_q1,Adam Pendleton · Multiple · 2025 Q1,orders,2024-11-26,2025-01-30,True,2024-12-12,10.0,0,0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,,4.0,4.0,,,,,0.0,False,
adriana_oliver_my_way_back_to_you_2022_q4,Adriana Oliver · My way back to you · 2022 Q4,orders,2026-06-26,2026-09-24,False,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,0.0,False,
adriana_oliver_our_day_2022_q2,Adriana Oliver · Our Day · 2022 Q2,orders,2026-06-26,2026-09-24,False,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,0.0,False,
ahmed_mater_multiple_2026_q3,Ahmed Mater · Multiple · 2026 Q3,orders,2026-06-17,2026-07-30,True,2026-07-01,32.0,0,4.0,32.0,32.0,32.0,32.0,0.0,4.0,0.0,32.0,32.0,32.0,32.1,32.0,,1.0,1.0,32.0,,,,0.0,False,
ai_weiwei_arm_multiple_2026_q2,Ai Weiwei · Arm · Multiple · 2026 Q2,orders,2026-03-17,2026-04-24,True,2026-03-30,146.0,0,0,146.0,146.0,146.0,146.0,0.0,0.0,0.0,146.0,146.0,146.0,146.0,146.0,,27.6,27.6,,,,,0.0,False,
ai_weiwei_glass_vase_2023_q3,Ai Weiwei · Glass Vase · 2023 Q3,orders,2026-06-26,2026-09-24,False,,0,301.0,0,,0.0,0.0,,301.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,0.0,False,
ai_weiwei_multiple_2023_q2,Ai Weiwei · Multiple · 2023 Q2,orders,2026-06-26,2026-09-24,False,,0,309.0,0,,0.0,0.0,,309.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,0.0,False,
ai_weiwei_multiple_2024_q4,Ai Weiwei · Multiple · 2024 Q4,orders,2024-11-06,2024-12-12,True,2024-11-18,199.0,0,5.0,199.0,199.0,199.0,199.0,0.0,5.0,0.0,199.0,199.0,198.9,199.0,198.99,,0.0,0.0,199.0,,,,0.0,False,
ai_weiwei_multiple_2025_q4,Ai Weiwei · Multiple · 2025 Q4,orders,2025-10-08,2025-11-19,True,2025-10-20,148.0,0,1.0,148.0,148.0,148.0,148.0,0.0,1.0,0.0,148.0,148.0,148.0,147.9,148.0,,21.0,21.0,148.0,,,,0.0,False,
ai_weiwei_multiple_2026_q3,Ai Weiwei · Multiple · 2026 Q3,orders,2026-08-14,2026-09-24,False,2026-08-26,19.0,0,0,19.0,19.0,19.0,19.0,0.0,0.0,0.0,21.0,21.0,21.0,20.9,21.0,,2.2,2.2,,,,,0.0,False,
ai_weiwei_to_be_looked_at_2024_q4,Ai Weiwei · To Be Looked At... · 2024 Q4,orders,2024-09-28,2024-11-06,True,2024-09-28,186.0,13.0,2.0,186.0,186.0,186.0,186.0,13.0,2.0,0.0,186.0,186.0,186.0,186.0,186.0,,0.0,0.0,,,,,0.0,False,
