release,match,cancelled,refunded,pending,test,upsell_merged,has_frames,private_room,from_draft,facilitated,event_says_cancelled,repeated_event,day_differs,event_without_order_id,orders_have_it_under_another_release,in_orders_table_but_not_an_order_since,not_in_orders_table,funnel_has_it_under_another_release,orders,paid_units,funnel_units
Abdulnasser Gharem · Hemisphere · 2026 Q3,"both, same units",false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,13,17,17.0
Abdulnasser Gharem · Hemisphere · 2026 Q3,"both, same units",false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,2,2,2.0
Abdulnasser Gharem · Hemisphere · 2026 Q3,"both, same units",false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,1,1,1.0
Adam Pendleton · Multiple · 2025 Q1,"both, same units",false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,8,8,8.0
Ahmed Mater · Magnetism 25 · 2025 Q4,orders only,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,5,5,0.0
Ahmed Mater · Magnetism 25 · 2025 Q4,orders only,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,31,31,0.0
Ahmed Mater · Magnetism 25 · 2025 Q4,orders only,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,4,4,0.0
Ahmed Mater · Multiple · 2026 Q3,"both, same units",false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,5,5,5.0
Ahmed Mater · Multiple · 2026 Q3,"both, same units",false,false,false,false,false,false,false,true,true,false,false,true,false,false,false,false,false,1,1,1.0
Ahmed Mater · Multiple · 2026 Q3,"both, same units",false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,24,24,24.0
Ahmed Mater · Multiple · 2026 Q3,"both, units differ",false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,2,4,3.0
Ahmed Mater · Multiple · 2026 Q3,"both, units differ",false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,1,2,1.0
Ai Weiwei · Arm · Multiple · 2026 Q2,"both, same units",false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,123,123,123.0
Ai Weiwei · Arm · Multiple · 2026 Q2,"both, same units",false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,23,23,23.0
Ai Weiwei · Combat fear with truth · 2025 Q1,orders only,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,103,109,0.0
Ai Weiwei · Combat fear with truth · 2025 Q1,orders only,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,109,113,0.0
Ai Weiwei · Combat fear with truth · 2025 Q1,orders only,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,13,16,0.0
Ai Weiwei · Everyone is a dragon · 2024 Q3,orders only,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,true,2,2,0.0
Ai Weiwei · Everyone is a dragon · 2024 Q3,orders only,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,1,1,0.0
Ai Weiwei · Everyone is a dragon · 2024 Q3,orders only,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,3,3,0.0
Ai Weiwei · Everyone is a dragon · 2024 Q3,orders only,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,1,0.0
Ai Weiwei · Guar · Multiple · 2026 Q2,orders only,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,30,46,0.0
Ai Weiwei · Guar · Multiple · 2026 Q2,orders only,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,548,685,0.0
Ai Weiwei · Guar · Multiple · 2026 Q2,orders only,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,true,2,2,0.0
Ai Weiwei · Guar · Multiple · 2026 Q2,orders only,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,255,334,0.0
Ai Weiwei · Guardian · 2024 Q1,orders only,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,3,3,0.0
Ai Weiwei · Middle Finger in Red · 2023 Q1,orders only,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,1,1,0.0
Ai Weiwei · Multiple · 2024 Q4,"both, same units",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,5,5,5.0
Ai Weiwei · Multiple · 2025 Q3,orders only,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,154,161,0.0
Ai Weiwei · Multiple · 2025 Q3,orders only,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,19,26,0.0
Ai Weiwei · Multiple · 2025 Q3,orders only,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,true,1,1,0.0
Ai Weiwei · Multiple · 2025 Q3,orders only,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,239,297,0.0
Ai Weiwei · Multiple · 2025 Q4,"both, same units",false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,99,99,99.0
Ai Weiwei · Multiple · 2025 Q4,"both, same units",false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,1,1,1.0
Ai Weiwei · Multiple · 2025 Q4,"both, same units",false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,48,48,48.0
Ai Weiwei · Multiple · 2025 Q4,"both, units differ",false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,1,1,2.0
Ai Weiwei · Multiple · 2026 Q1,orders only,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,63,71,0.0
Ai Weiwei · Multiple · 2026 Q1,orders only,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,38,41,0.0
Ai Weiwei · Multiple · 2026 Q1,orders only,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,true,1,1,0.0
Ai Weiwei · Multiple · 2026 Q1,orders only,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,16,26,0.0
Ai Weiwei · Multiple · 2026 Q3,"both, same units",false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,6,6,6.0
Ai Weiwei · Multiple · 2026 Q3,"both, same units",false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,12,12,12.0
Ai Weiwei · Multiple · 2026 Q3,"both, same units",false,false,false,false,false,false,false,true,true,false,false,true,false,false,false,false,false,1,1,1.0
Ai Weiwei · To Be Looked At... · 2024 Q4,"both, same units",false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,1,1,1.0
Alex Katz · Ada Ada · 2025 Q4,"both, same units",false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,38,38,38.0
Alex Katz · Ada Ada · 2025 Q4,"both, same units",false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,1,1,1.0
Alex Katz · Ada Ada · 2025 Q4,"both, same units",false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,155,158,158.0
Alex Katz · Ada Ada · 2025 Q4,"both, same units",false,false,false,false,false,false,false,true,true,false,false,true,false,false,false,false,false,1,1,1.0
Alex Katz · Ada Ada · 2025 Q4,"both, units differ",false,true,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,2,0,2.0
Ali Banisadr · Thinkpol · 2021 Q2,orders only,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,2,2,0.0
Alpha Centauri Kid · Multiple · 2024 Q4,orders only,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,6,6,0.0
Amanda Baldwin · Bell Bay · 2023 Q3,"both, units differ",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,4,0,4.0
Amani Lewis · TWO QUEENS: Ode to Romare Bearden · 2021 Q3,"both, same units",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,1,1.0
Andy Warhol Estate · Multiple · 2026 Q3,"both, same units",false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,96,113,113.0
Andy Warhol Estate · Multiple · 2026 Q3,"both, same units",false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,5,6,6.0
Andy Warhol Estate · Multiple · 2026 Q3,"both, same units",false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,56,58,58.0
Andy Warhol Estate · Multiple · 2026 Q3,"both, same units",false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,393,500,500.0
Andy Warhol Estate · Multiple · 2026 Q3,"both, same units",false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,1,4,4.0
Andy Warhol Estate · Multiple · 2026 Q3,"both, units differ",false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,3,17,14.0
Anish Kapoor · Out of the Dark · 2023 Q4,orders only,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,1,1,0.0
