release_name,artist,title,quarter,year,first_seen,last_seen,sessions_life,units_life,entries_life,announce_inferred,close_inferred,alloc_day,announce,close,dates_source,mechanic,panel,exclude_reason,window_start,window_end,campaign_days,tot_page_views_total,tot_sessions_total,tot_draw_entries,tot_preorder_app,tot_draw_entry_eligible,tot_unique_customers,tot_customer_private_room,tot_draw_entry_eligible_no_conv,tot_total_product_units,tot_product_units_draw,tot_product_units_preorder_app,tot_product_units_private_room,tot_product_units_presale_offered,tot_product_units_other,tot_draw_entries_total_units,tot_draw_entries_total_units_no_conv,tot_draw_entries_eligible_units,entries_all,sess_share_aa_email,sess_share_aa_social,sess_share_referral_artist,sess_share_search_direct_other,sess_share_paid,ent_share_aa_email,ent_share_aa_social,ent_share_referral_artist,ent_share_search_direct_other,ent_share_paid,unit_share_aa_email,unit_share_aa_social,unit_share_referral_artist,unit_share_search_direct_other,unit_share_paid,conv_sess_entry_aa_email,conv_sess_unit_aa_email,sessions_aa_email,entries_aa_email,units_aa_email,conv_sess_entry_aa_social,conv_sess_unit_aa_social,sessions_aa_social,entries_aa_social,units_aa_social,conv_sess_entry_referral_artist,conv_sess_unit_referral_artist,sessions_referral_artist,entries_referral_artist,units_referral_artist,conv_sess_entry_search_direct_other,conv_sess_unit_search_direct_other,sessions_search_direct_other,entries_search_direct_other,units_search_direct_other,conv_sess_entry_paid,conv_sess_unit_paid,sessions_paid,entries_paid,units_paid,chan_share_AA Email Auto,chan_share_AA Email Man,chan_share_AA Meta,chan_share_AA Other,chan_share_AA X,chan_share_Direct,chan_share_Organic Search,chan_share_Other,chan_share_Paid Search,chan_share_Paid Social,chan_share_Referral Artist,chan_share_Referral Meta,chan_share_Referral Other,chan_share_Referral X,untracked_share,oversubscription,oversub_draw,private_room_share,preorder_share,draw_route_share,other_route_share,entries_per_session,units_per_session,entry_to_unit,pageviews_per_session,ea_share_sessions,ea_share_units,burst_share,cliff_share,entries_burst_share,entries_cliff_share,peak_day_share,half_point,entries_half_point,stage_sess_early_access,stage_sess_sustain_1,stage_sess_sustain_2,stage_sess_sustain_3,stage_sess_last_chance,stage_sess_outside,stage_ent_early_access,stage_ent_sustain_1,stage_ent_sustain_2,stage_ent_sustain_3,stage_ent_last_chance,stage_ent_outside,stage_unit_early_access,stage_unit_sustain_1,stage_unit_sustain_2,stage_unit_sustain_3,stage_unit_last_chance,stage_unit_outside,campaign_sessions,log_sessions,log_units,log_entries,log_oversub,log_entries_per_session,log_units_per_session,cluster,cluster_name,cluster_k2,cluster_k2_name,dist_to_centroid,nearest_cluster,nearest_cluster_name,airtable_release,airtable_ids,n_products,unit_price,price_min,price_max,currency,unit_price_eur,edition_size,launch_value,launch_value_eur,airtable_launch_date,airtable_launch_type,airtable_edition_type,airtable_product_type,price_status,price_match,price_match_score,price_match_days,price_note
Eddie Martinez · Scaffold · 2024 Q2,Eddie Martinez,Scaffold,2024 Q2,2024,2024-04-23,2026-09-10,9180.0,200.0,269.0,2024-05-08,2024-06-18,2024-06-18,2024-05-08,2024-06-18,inferred,draw,draw,,2024-03-24,2024-06-21,41.0,24239.0,8023.0,199.0,70.0,11.0,196.0,20.0,9.0,196.0,79.0,51.0,20.0,8.0,38.0,197.0,9.0,153.0,269.0,0.4557711693548387,0.0587197580645161,0.0,0.2439516129032258,0.2415574596774193,0.4926470588235294,0.0367647058823529,0.0,0.375,0.0955882352941176,0.4756097560975609,0.0426829268292682,0.0,0.4207317073170731,0.0609756097560975,0.0185236383743433,0.0215648327343102,3617.0,67.0,78.0,0.0107296137339055,0.0150214592274678,466.0,5.0,7.0,,,0.0,0.0,0.0,0.0263429752066115,0.0356404958677685,1936.0,51.0,69.0,0.0067814293166405,0.0052164840897235,1917.0,13.0,10.0,0.0007560483870967,0.4550151209677419,0.055695564516129,0.0005040322580645,0.003024193548387,0.1513356854838709,0.0122227822580645,0.0,0.0026461693548387,0.2389112903225806,0.0,0.0327620967741935,0.0467489919354838,0.0003780241935483,0.0108438240059828,0.7806122448979592,1.9367088607594936,0.1020408163265306,0.2602040816326531,0.4030612244897959,0.2346938775510204,0.0190701732519007,0.0244297644272715,0.5163398692810458,3.0211890813910007,0.0033653246915119,0.0,0.2659128446194893,0.1762164909160208,0.3660130718954248,0.130718954248366,0.1530936348621522,0.4390243902439024,0.1219512195121951,0.0033653246915119,0.4636669574971955,0.1531845942914121,0.3284307615605135,0.0513523619593668,0.0,0.0,0.6666666666666666,0.1241830065359477,0.1764705882352941,0.0326797385620915,0.0,0.0,0.4438775510204081,0.0357142857142857,0.0816326530612244,0.4387755102040816,0.0,7871.0,8.990067695753655,5.278114659230517,5.030437921392435,-0.2476767378380817,-3.959629774361221,-3.711953036523139,0.0,Paid-led headline launches,0.0,Paid-led,1.619506918883869,,,EddieMartScaffold24,1939,1.0,1250.0,1250.0,1250.0,EUR,1250.0,200.0,250000.0,250000.0,2024-06-18,Draw,PE,Hybrid print,Confirmed,exact,1.0,0.0,
Pejac · Multiple · 2024 Q3,Pejac,Multiple,2024 Q3,2024,2024-06-10,2026-09-09,45361.0,788.0,3980.0,2024-07-15,2024-07-18,2024-07-18,2024-07-15,2024-07-18,inferred,draw,draw,,2024-05-31,2024-07-21,3.0,240232.0,36500.0,3980.0,0.0,3192.0,741.0,11.0,2166.0,765.0,168.0,0.0,11.0,0.0,586.0,2093.0,1368.0,1934.0,3980.0,0.4406927626020839,0.0407772458462405,0.1505209800056322,0.3680090115460434,0.0,0.4444444444444444,0.0250145433391506,0.0558464223385689,0.4746945898778359,0.0,0.4464285714285714,0.0119047619047619,0.0967261904761904,0.4449404761904761,0.0,0.0488210109272157,0.0191705540290114,15649.0,764.0,300.0,0.029696132596685,0.005524861878453,1448.0,43.0,8.0,0.0179607109448082,0.0121608980355472,5345.0,96.0,65.0,0.0624426078971533,0.0228803183348637,13068.0,816.0,299.0,,,0.0,0.0,0.0,0.0,0.4406927626020839,0.0357927344410025,0.0,0.0049845114052379,0.3049281892424669,0.0259645170374542,0.0006758659532526,0.0,0.0,0.1505209800056322,0.0241058856660095,0.0115742044494508,0.0007603491974091,0.0271232876712328,2.5281045751633986,11.511904761904765,0.0143790849673202,0.0,0.2196078431372549,0.7660130718954249,0.052986301369863,0.020958904109589,0.0868665977249224,6.581698630136986,0.461041095890411,0.1359477124183006,0.4202492724976665,0.1780596277384286,0.7982273201251303,0.0641293013555787,0.4202492724976665,0.3333333333333333,0.0,0.461041095890411,0.2096986301369863,0.1075068493150684,0.092931506849315,0.1288219178082191,0.0,0.0,0.7916235780765254,0.0847983453981385,0.0517063081695966,0.0718717683557394,0.0,0.1359477124183006,0.0261437908496732,0.3111111111111111,0.1895424836601307,0.3372549019607843,0.0,18213.0,10.505067539570582,6.639875833826536,7.56734567601324,0.9274698421867038,-2.937721863557343,-3.865191705744047,0.0,Paid-led headline launches,1.0,Organic,2.8148956942072765,,,Pejac1000Print24,2127|2128|2072|2129|2130|2131|2132|2133|1547,9.0,1414.2857142857142,150.0,3000.0,EUR,1414.2857142857142,700.0,990000.0,990000.0,2024-07-15,Draw,PE,Hybrid print,Confirmed,artist+window,1.0,0.0,titles: HOPE (1-125) / HOPE (126-250) / HOPE (Triptych) / HOPE (251-375) / HOPE (376-500) / HOPE (501-625) / HOPE (626-750) / HO; 4 codes merged as one launch: Pejac1000Print24 + Pejac1000Print24 + Pejac1000Print24 + Pejac1000Print24
Johnson Tsang · The Moment · 2024 Q4,Johnson Tsang,The Moment,2024 Q4,2024,2024-08-29,2026-09-06,10390.0,254.0,258.0,2024-09-10,2024-10-09,2024-10-09,2024-09-10,2024-10-09,inferred,draw,draw,,2024-07-27,2024-10-12,29.0,13686.0,9616.0,258.0,0.0,1.0,247.0,66.0,0.0,249.0,170.0,0.0,66.0,0.0,13.0,255.0,0.0,183.0,258.0,0.2277632268203247,0.0836039811419591,0.0711367207962283,0.3312729177579884,0.2862231534834992,0.3111111111111111,0.0666666666666666,0.0,0.4833333333333333,0.1388888888888889,0.3905579399141631,0.0858369098712446,0.0257510729613733,0.3905579399141631,0.1072961373390558,0.0257589696412143,0.0418583256669733,2174.0,56.0,91.0,0.0150375939849624,0.025062656641604,798.0,12.0,20.0,0.0,0.0088365243004418,679.0,0.0,6.0,0.0275142314990512,0.0287792536369386,3162.0,87.0,91.0,0.0091508052708638,0.0091508052708638,2732.0,25.0,25.0,0.0,0.2277632268203247,0.0825563122053431,0.0,0.001047668936616,0.1325301204819277,0.0088004190675746,0.0,0.0,0.2862231534834992,0.0711367207962283,0.1778941854374018,0.0120481927710843,0.0,0.0073835274542429,0.7349397590361446,1.076470588235294,0.2650602409638554,0.0,0.6827309236947792,0.0522088353413654,0.01903078202995,0.0258943427620632,0.9289617486338798,1.423252911813644,0.0748752079866888,0.0,0.2485701212537177,0.166552276366964,0.2513661202185792,0.1967213114754098,0.1432166552276366,0.5862068965517241,0.3448275862068966,0.0748752079866888,0.3993344425956738,0.0617720465890183,0.4137895174708819,0.0502287853577371,0.0,0.0,0.4918032786885246,0.0928961748633879,0.360655737704918,0.0546448087431694,0.0,0.0,0.2489959839357429,0.0120481927710843,0.0120481927710843,0.7269076305220884,0.0,8742.0,9.17118365677499,5.517452896464707,5.209486152841421,-0.3079667436232866,-3.961697503933568,-3.653730760310281,0.0,Paid-led headline launches,0.0,Paid-led,1.303783929278674,,,JohnsonTsMoment24,1972,1.0,700.0,700.0,700.0,EUR,700.0,250.0,175000.0,175000.0,2024-10-09,Draw,SE,Mid cost 3D edition,Confirmed,exact,1.0,0.0,
Will Cotton · The Cowgirl · 2025 Q1,Will Cotton,The Cowgirl,2025 Q1,2025,2025-01-02,2026-09-08,7915.0,101.0,110.0,2025-01-20,2025-02-14,2025-02-14,2025-01-20,2025-02-14,inferred,draw,draw,,2024-12-06,2025-02-17,25.0,9611.0,6516.0,96.0,14.0,0.0,99.0,4.0,0.0,99.0,76.0,13.0,4.0,0.0,6.0,96.0,0.0,90.0,110.0,0.2138772987173543,0.067068459279864,0.0579508576726935,0.1168289290681502,0.5442744552619379,0.3522727272727273,0.0454545454545454,0.0113636363636363,0.3295454545454545,0.2613636363636363,0.3473684210526316,0.031578947368421,0.0210526315789473,0.3263157894736842,0.2736842105263158,0.0223988439306358,0.0238439306358381,1384.0,31.0,33.0,0.0092165898617511,0.0069124423963133,434.0,4.0,3.0,0.0026666666666666,0.0053333333333333,375.0,1.0,2.0,0.0383597883597883,0.041005291005291,756.0,29.0,31.0,0.0065303804656445,0.0073821692220329,3522.0,23.0,26.0,0.0001545356204605,0.2137227630968938,0.0662957811775614,0.0,0.0007726781023025,0.0492968629269046,0.0067995673002627,0.0001545356204605,0.0,0.5442744552619379,0.0579508576726935,0.0435790449698655,0.0169989182506567,0.0,0.0069060773480662,0.9090909090909092,1.1842105263157894,0.0404040404040404,0.1313131313131313,0.7676767676767676,0.0606060606060606,0.0138121546961325,0.0151933701657458,0.8444444444444444,1.4749846531614488,0.1040515653775322,0.0404040404040404,0.0785440613026819,0.1922675026123302,0.1333333333333333,0.2,0.1966213862765587,0.68,0.64,0.1040515653775322,0.125537139349294,0.273634131368938,0.4458256599140577,0.050951503990178,0.0,0.0,0.2777777777777778,0.3444444444444444,0.3222222222222222,0.0555555555555555,0.0,0.0404040404040404,0.1717171717171717,0.0,0.0,0.7878787878787878,0.0,5742.0,8.782015969721936,4.59511985013459,4.499809670330265,-0.0953101798043249,-4.282206299391671,-4.186896119587346,0.0,Paid-led headline launches,0.0,Paid-led,1.247192852361496,,,WillCottoUnicorn25,2200,1.0,850.0,850.0,850.0,EUR,850.0,200.0,170000.0,170000.0,2025-02-14,TBC (Pre-order),PE,Hybrid print,Confirmed,exact,1.0,0.0,
Hajime Sorayama · Untitled · 2025 Q2,Hajime Sorayama,Untitled,2025 Q2,2025,2025-01-30,2026-09-10,38007.0,469.0,534.0,2025-03-10,2025-04-07,2025-04-07,2025-03-10,2025-04-07,inferred,draw,draw,,2025-01-24,2025-04-10,28.0,44395.0,36053.0,534.0,0.0,1.0,454.0,55.0,1.0,456.0,379.0,0.0,56.0,0.0,21.0,528.0,0.0,425.0,534.0,0.1645428435992527,0.040124919833812,0.0124083317067729,0.0497727462844714,0.7331511585756908,0.2935323383084577,0.0597014925373134,0.0199004975124378,0.2064676616915423,0.4203980099502487,0.3530805687203791,0.0687203791469194,0.0165876777251184,0.1800947867298578,0.3815165876777251,0.0199966107439417,0.0252499576342992,5901.0,118.0,149.0,0.0166782487838776,0.0201528839471855,1439.0,24.0,29.0,0.0179775280898876,0.0157303370786516,445.0,8.0,7.0,0.0464985994397759,0.0425770308123249,1785.0,83.0,76.0,0.0064275662723918,0.0061233027802076,26293.0,169.0,161.0,2.7883891475894377e-05,0.1645149597077768,0.0389537963918244,0.0004182583721384,0.0011711234419875,0.0295290410729721,0.0078632573962022,0.0051027521400886,0.0,0.7331511585756908,0.0124083317067729,0.0063854111479798,0.0004740261550902,0.0,0.0052700191384905,0.9320175438596492,1.121372031662269,0.1228070175438596,0.0,0.831140350877193,0.0460526315789473,0.0117882007045183,0.0126480459323773,0.8917647058823529,1.2313815771225696,0.0485396499597814,0.0964912280701754,0.125,0.0771314178049929,0.2988235294117647,0.1035294117647058,0.0935586434291097,0.5357142857142857,0.4285714285714285,0.0485396499597814,0.1450919479654952,0.4570770809641361,0.3290710897844839,0.0202202313261032,0.0,0.0,0.3623529411764706,0.3576470588235294,0.2541176470588235,0.0258823529411764,0.0,0.0964912280701754,0.0241228070175438,0.0285087719298245,0.0021929824561403,0.8486842105263158,0.0,33968.0,10.49274535700381,6.1224928095143865,6.052089168924417,-0.0704036405899693,-4.4406561880793936,-4.370252547489424,0.0,Paid-led headline launches,0.0,Paid-led,0.7423492912789199,,,HajimeSorUntitled25,2015,1.0,700.0,700.0,700.0,EUR,700.0,500.0,350000.0,350000.0,2025-04-07,Draw,PE,Lenticular print,Confirmed,exact,1.0,0.0,
Lee Ufan · Multiple · 2025 Q2,Lee Ufan,Multiple,2025 Q2,2025,2025-03-24,2026-09-09,89089.0,340.0,750.0,2025-05-22,2025-06-26,2025-06-26,2025-05-22,2025-06-26,inferred,draw,draw,,2025-04-07,2025-06-29,35.0,127254.0,84811.0,665.0,85.0,463.0,260.0,76.0,371.0,291.0,11.0,11.0,81.0,11.0,177.0,638.0,349.0,452.0,750.0,0.0968440484220242,0.0194185097092548,0.00015383341025,0.0817802075567704,0.8018034009017004,0.2174887892376681,0.0269058295964125,0.0,0.4417040358744394,0.3139013452914798,0.3122362869198312,0.0337552742616033,0.0,0.540084388185654,0.1139240506329113,0.011852394916911,0.0090420332355816,8184.0,97.0,74.0,0.0073126142595978,0.0048750761730652,1641.0,12.0,8.0,,,13.0,0.0,0.0,0.0285052814353928,0.0185211980900014,6911.0,197.0,128.0,0.0020661766876236,0.0003984769326131,67758.0,140.0,27.0,9.466671400002366e-05,0.0967493817080241,0.0188623427645047,4.733335700001183e-05,0.0005561669447501,0.0595098630882648,0.0076798371732519,0.0063190031595015,0.0,0.8018034009017004,0.00015383341025,0.0051948359307512,0.0030056681695007,2.3666678500005915e-05,0.003584440697551,1.5532646048109966,41.09090909090909,0.2783505154639175,0.0378006872852233,0.0378006872852233,0.6460481099656358,0.0053294973529377,0.0034311586940373,0.0243362831858407,1.5004421596255202,0.0290528351275188,0.3230240549828179,0.2376688179389266,0.105920675393756,0.3207964601769911,0.165929203539823,0.0868276257518269,0.2571428571428571,0.2,0.0290528351275188,0.5194609189845657,0.226468264729811,0.206565186119725,0.0184527950383794,0.0,0.0,0.584070796460177,0.1858407079646017,0.168141592920354,0.0619469026548672,0.0,0.3230240549828179,0.127147766323024,0.0962199312714776,0.0446735395189003,0.40893470790378,0.0,81967.0,11.348180530348609,5.673323267171493,6.113682179832232,0.4403589126607387,-5.234498350516375,-5.674857263177114,0.0,Paid-led headline launches,0.0,Paid-led,1.4794921513887744,,,LeeUfanFrom25,2411|2123|2433|2312|2313,5.0,6000.0,6000.0,6000.0,EUR,6000.0,450.0,2700000.0,2700000.0,2025-06-26,Draw,PE,Silkscreen print,Confirmed,artist+window,1.0,0.0,titles: A trio of prints / From Line / From Point I and II / From Point Ⅰ / From Point Ⅱ
James Jarvis · Hang in there! · 2025 Q3,James Jarvis,Hang in there!,2025 Q3,2025,2024-12-10,2026-09-10,13149.0,151.0,171.0,2025-07-02,2025-07-29,2025-07-29,2025-07-02,2025-07-29,inferred,draw,draw,,2025-05-18,2025-08-01,27.0,15684.0,12668.0,171.0,0.0,22.0,144.0,48.0,22.0,147.0,87.0,0.0,50.0,0.0,10.0,169.0,22.0,116.0,171.0,0.1802993111093515,0.0297727452688257,0.0633462665294164,0.0571700055427983,0.669411671549608,0.3423423423423423,0.036036036036036,0.009009009009009,0.2432432432432432,0.3693693693693693,0.463768115942029,0.0434782608695652,0.0217391304347826,0.217391304347826,0.2536231884057971,0.0166886253842775,0.0281071585419411,2277.0,38.0,64.0,0.0106382978723404,0.0159574468085106,376.0,4.0,6.0,0.00125,0.00375,800.0,1.0,3.0,0.0373961218836565,0.0415512465373961,722.0,27.0,30.0,0.0048497752543174,0.0041400520463685,8454.0,41.0,35.0,0.000316731332647,0.1799825797767044,0.0290600997703697,0.0,0.0007126454984559,0.0404624277456647,0.0044342386570591,0.002058753662206,0.0,0.669411671549608,0.0633462665294164,0.0087101116477947,0.0014252909969118,7.918283316177053e-05,0.0030786233028102,0.7891156462585034,1.3333333333333333,0.3401360544217687,0.0,0.5918367346938775,0.0680272108843537,0.0091569308493842,0.0116040416798231,0.75,1.2380802020839912,0.0874644774234291,0.2312925170068027,0.1349982535801606,0.1706252183024799,0.2155172413793103,0.1982758620689655,0.1069682151589242,0.7777777777777778,0.7037037037037037,0.0874644774234291,0.155352068203347,0.114382696558257,0.6125670982001895,0.0302336596147773,0.0,0.0,0.2758620689655172,0.146551724137931,0.5517241379310345,0.0258620689655172,0.0,0.2312925170068027,0.1496598639455782,0.0068027210884353,0.0068027210884353,0.6054421768707483,0.0,11452.0,9.44683440765853,4.990432586778736,4.7535901911063645,-0.2368423956723716,-4.6932442165521655,-4.456401820879794,0.0,Paid-led headline launches,0.0,Paid-led,0.9775321232316542,,,JamesJarvHangInThe25,836,1.0,600.0,600.0,600.0,EUR,600.0,150.0,90000.0,90000.0,2025-07-29,Draw,CL,Mid cost 3D edition,Confirmed,exact,1.0,0.0,
Johnson Tsang · Remembrance · 2025 Q3,Johnson Tsang,Remembrance,2025 Q3,2025,2025-03-24,2026-09-09,9664.0,152.0,149.0,2025-07-14,2025-08-14,2025-08-14,2025-07-14,2025-08-14,inferred,draw,draw,,2025-05-30,2025-08-17,31.0,11881.0,9074.0,149.0,0.0,1.0,148.0,38.0,1.0,148.0,100.0,0.0,38.0,0.0,10.0,146.0,1.0,103.0,149.0,0.180728241563055,0.0479573712255772,0.0452930728241563,0.1410968028419183,0.5849245115452931,0.2277227722772277,0.1188118811881188,0.0,0.3168316831683168,0.3366336633663366,0.3120567375886525,0.1276595744680851,0.0638297872340425,0.226950354609929,0.2695035460992908,0.0141277641277641,0.027027027027027,1628.0,23.0,44.0,0.0277777777777777,0.0416666666666666,432.0,12.0,18.0,0.0,0.0220588235294117,408.0,0.0,9.0,0.025177025963808,0.025177025963808,1271.0,32.0,32.0,0.0064528373505409,0.0072119946858986,5269.0,34.0,38.0,0.0001110124333925,0.1806172291296625,0.0471802841918294,0.0,0.0007770870337477,0.0412966252220248,0.0059946714031971,0.0017761989342806,0.0,0.5849245115452931,0.0452930728241563,0.0905861456483126,0.001443161634103,0.0,0.0072735287635001,0.6959459459459459,1.03,0.2567567567567567,0.0,0.6756756756756757,0.0675675675675675,0.0113511130703107,0.0163103372272426,0.970873786407767,1.309345382411285,0.1448093453824112,0.2702702702702703,0.0928674635491921,0.1489557336135557,0.233009708737864,0.1941747572815534,0.069355050571391,0.6129032258064516,0.5161290322580645,0.1448093453824112,0.0910293145250165,0.378443905664536,0.3376680625964293,0.0480493718316067,0.0,0.0,0.3009708737864077,0.3592233009708738,0.3203883495145631,0.0194174757281553,0.0,0.2702702702702703,0.0337837837837837,0.0,0.0067567567567567,0.6891891891891891,0.0,7613.0,9.113168460223909,4.997212273764115,4.634728988229636,-0.3624832855344793,-4.478439471994274,-4.115956186459794,0.0,Paid-led headline launches,0.0,Paid-led,1.0496350630989255,,,JohnsonTsRememb25,1973,1.0,900.0,900.0,900.0,EUR,900.0,150.0,135000.0,135000.0,2025-08-14,Draw,SE,Low cost 3D edition,Confirmed,exact,1.0,0.0,
Maurizio Cattelan · We are the Revolution · 2025 Q4,Maurizio Cattelan,We are the Revolution,2025 Q4,2025,2025-07-28,2026-09-09,104557.0,996.0,2836.0,2025-09-23,2025-10-27,2025-10-27,2025-09-23,2025-10-27,inferred,draw,draw,,2025-08-09,2025-10-30,34.0,123938.0,100589.0,1836.0,1000.0,668.0,969.0,74.0,667.0,987.0,164.0,664.0,76.0,31.0,66.0,1816.0,658.0,1532.0,2836.0,0.0925490274593815,0.0225841650566105,0.0,0.0880041644559678,0.79686264302804,0.2516556291390728,0.0503311258278145,0.0,0.3801324503311258,0.3178807947019867,0.3359116022099447,0.0596685082872928,0.0,0.3513812154696132,0.2530386740331491,0.0411032990805841,0.0328826392644672,9245.0,380.0,304.0,0.0336879432624113,0.0239361702127659,2256.0,76.0,54.0,,,0.0,0.0,0.0,0.0652940507337049,0.036173359117279,8791.0,574.0,318.0,0.0060300749990578,0.0028768482808004,79601.0,480.0,229.0,0.0,0.0925490274593815,0.0222137687325438,0.0002702892094541,0.0003703963240667,0.0426756629593665,0.0159370526463315,0.0112220075480764,0.0,0.79686264302804,0.0,0.0060364590111419,0.0117325538326008,0.0001301392489964,0.0069192456431617,1.552178318135765,9.341463414634148,0.0770010131712259,0.6727456940222898,0.1661600810536981,0.0982776089159067,0.0152302935708675,0.0098122061060354,0.1070496083550913,1.2321227967272763,0.0020578790921472,0.0,0.080515555733456,0.0354244428655772,0.2330287206266318,0.0711488250652741,0.0950455814512013,0.4411764705882353,0.2941176470588235,0.0020578790921472,0.4337452405332591,0.3137917664953424,0.2413186332501565,0.0090864806290946,0.0,0.0,0.5744125326370757,0.1886422976501305,0.2304177545691906,0.0065274151436031,0.0,0.0,0.756838905775076,0.0141843971631205,0.0121580547112462,0.2168186423505572,0.0,99931.0,11.51879818673291,6.894670039433482,7.334329350300536,0.439659310867055,-4.184468836432374,-4.6241281472994284,0.0,Paid-led headline launches,0.0,Paid-led,1.7185148165660735,,,MaurizioCRev25,2286,1.0,1500.0,1500.0,1500.0,EUR,1500.0,1000.0,1500000.0,1500000.0,2025-10-24,Draw,SE,Mid cost 3D edition,Confirmed,exact,1.0,3.0,
Alex Katz · Ada Ada · 2025 Q4,Alex Katz,Ada Ada,2025 Q4,2025,2025-07-23,2026-09-08,44445.0,200.0,436.0,2025-10-01,2025-10-30,2025-10-30,2025-10-01,2025-10-30,inferred,draw,draw,,2025-08-17,2025-11-02,29.0,52156.0,43103.0,248.0,188.0,35.0,191.0,39.0,32.0,194.0,13.0,126.0,39.0,2.0,15.0,245.0,32.0,192.0,436.0,0.1829100812364703,0.0175508018900863,0.0,0.0543748981634505,0.7451642187099928,0.3068783068783068,0.0423280423280423,0.0,0.3386243386243386,0.3121693121693121,0.3798882681564245,0.0279329608938547,0.0,0.3519553072625698,0.2402234636871508,0.0073810129804021,0.008653601425299,7858.0,58.0,68.0,0.0106100795755968,0.006631299734748,754.0,8.0,5.0,,,0.0,0.0,0.0,0.0273972602739726,0.0269691780821917,2336.0,64.0,63.0,0.0018430012807297,0.0013432043232436,32013.0,59.0,43.0,0.0,0.1829100812364703,0.0174111403365843,0.0001629384790856,0.000139661553502,0.0256511719932031,0.0049579851493214,0.013849770722283,0.0,0.7451642187099928,0.0,0.0054002467354111,0.004352785084146,0.0,0.0032944342621163,0.9896907216494846,14.76923076923077,0.2010309278350515,0.6494845360824743,0.0670103092783505,0.0876288659793814,0.0044544463262417,0.0045008468088068,0.0677083333333333,1.210031784330557,0.0449620676055031,0.1701030927835051,0.1210223673310267,0.0736562545684908,0.1822916666666666,0.125,0.0685395448564884,0.4137931034482758,0.3448275862068966,0.0449620676055031,0.3681414286708582,0.2935758531888731,0.2877989931095283,0.0055216574252372,0.0,0.0,0.4583333333333333,0.265625,0.2604166666666667,0.015625,0.0,0.1701030927835051,0.3556701030927835,0.1958762886597938,0.1546391752577319,0.1237113402061855,0.0,41042.0,10.67134787923793,5.267858159063328,5.2574953720277815,-0.0103627870355465,-5.413852507210148,-5.403489720174601,0.0,Paid-led headline launches,0.0,Paid-led,0.9942551165045675,,,AlexKatzH225,1898,1.0,5000.0,5000.0,5000.0,EUR,5000.0,200.0,1000000.0,1000000.0,2025-10-30,Draw,PE,Silkscreen print,Confirmed,exact,1.0,0.0,
