airtable_id,project_code,artist,title,title_status,release,unit_price,currency,price_status,price_bucket,max_revenue,edition_size,unit_status,units_target,max_order_qty,edition_type,launch_type,business_unit,product_type,made_to_order,tl_length,project_status,product_variants,campaign_type,sales_approach,launch_date,launch_time,announce_date,private_room_date,tl_end_date,launch_date_status,quarter,preorder_window,medium,medium_status,dimensions,signed_numbered_dated,signature_type,hand_finished,framing,artist_tier,artist_genre,new_or_repeat,expected_sellthrough,target_sellthrough,artist_profit_per_unit,aa_profit_per_unit,aa_revenue_share,aa_profit_share,frame_conversion,frame_profit_per_unit,marketing_lead
1,CONRADJON-1,Conrad Jon Godly,Sol 23,,17.05CJGodlySol23,910,EUR,Confirmed,Under €1k,65520,72,,,,PE,,Limited,,,n/a,09. Fully completed,0,,,2017-05-17,,,,,,2017-Q2,,,,,,,,,Tier 3,,REPEAT,,,,,,,,,
2,LARAZANKO-2,Lara Zankoul,The Unseen,,25.05LZankoulUnseen,500,EUR,Confirmed,Under €1k,20000,40,,,,PE,,Limited,,,n/a,09. Fully completed,0,,,2017-05-25,,,,,,2017-Q2,,,,,,,,,Tier 3,,REPEAT,,,,,,,,,
3,KATRINFRI-3,Katrin Fridriks,Waving Force of Nature - Awakening,,17.06KFridriksPEs,780,EUR,Confirmed,Under €1k,60060,77,,,,PE,,Limited,,,n/a,09. Fully completed,0,,,2017-06-07,,,,,,2017-Q2,,,,,,,,,Tier 3,,REPEAT,,,,,,,,,
4,KATRINFRI-4,Katrin Fridriks,Waving Miracle – Magic Mind,,17.06KFridriksPEs,780,EUR,Confirmed,Under €1k,60060,77,,,,PE,,Limited,,,n/a,09. Fully completed,0,,,2017-06-07,,,,,,2017-Q2,,,,,,,,,Tier 3,,REPEAT,,,,,,,,,
5,JANKALÁB-5,Jan Kaláb,Sonoma,,12.07JankaSonoma,300,EUR,Confirmed,Under €1k,15000,50,,,,PE,,Limited,,,n/a,09. Fully completed,0,,,2017-07-12,,,,,,2017-Q3,,,,,,,,,Tier 3,,REPEAT,,,,,,,,,
6,JONNYNIES-6,Jonny Niesche,Cosmic Calculator,,12/07JNyniesScheinB,450,EUR,Confirmed,Under €1k,22500,50,,,,PE,,Limited,,,n/a,09. Fully completed,0,,,2017-07-12,,,,,,2017-Q3,,,,,,,,,Tier 3,,REPEAT,,,,,,,,,
7,MICHAELKA-7,Michael Kagan,Higher Places,,16.08KaganHigher,450,EUR,Confirmed,Under €1k,31500,70,,,,PE,,Limited,,,n/a,09. Fully completed,0,,,2017-08-16,,,,,Date confirmed (fully confirmed with artist),2017-Q3,,,,,,,,,Tier 3,,REPEAT,,,,,,,,,
8,JAKE&DIN-8,Jake & Dinos Chapman,Limited Edition Etchings,,N/A,,,Confirmed,Under €1k,0,,,,,WP,,Limited,,,n/a,09. Fully completed,0,,,2017-10-06,,,,,,2017-Q4,,,,,,,,,Tier 3,,NEW,,,,,,,,,
10,FELIPEPAN-10,Felipe Pantone,Chromadynamica Variable - Color,,17.10FPatonePEsCV,1890,EUR,Confirmed,€1k to €2.5k,18900,10,,,,PE,,Limited,,,n/a,09. Fully completed,2,,,2017-10-18,,,,,,2017-Q4,,,,,,,,,Tier 3,,REPEAT,,,,,,,,,
9,FELIPEPAN-9,Felipe Pantone,Chromadynamica Variable - Grey,,17.10FPatonePEsCV,1890,EUR,Confirmed,€1k to €2.5k,18900,10,,,,PE,,Limited,,,n/a,09. Fully completed,2,,,2017-10-18,,,,,,2017-Q4,,,,,,,,,Tier 3,,REPEAT,,,,,,,,,
