campaign_name,spend_date,impressions,reach,link_clicks,spend
Abdulnasser_LE_26 · Enter draw,2026-08-27,0,0,0,0
GlennLigon_LE_26 · Enter draw,2026-08-27,0,0,0,0
JamesJean_Blossom_26 · Enter draw,2026-08-27,0,0,0,0
JaumePlen_LE_26 · Enter draw,2026-08-27,0,0,0,0
Parra_LE_26 · Enter draw,2026-08-27,0,0,0,0
SalvadorDali_LE_26 · Enter draw,2026-08-27,101353,94950,1506,945.26
ZengFanzhi_LE_26 · Enter draw,2026-08-27,0,0,0,0
PietMondrian_LE_26 · Enter draw,2026-08-26,0,0,0,0
GlennLigon_LE_26 · Enter draw,2026-08-26,10321,9364,174,241.1
JamesJean_Blossom_26 · Enter draw,2026-08-26,0,0,0,0
JaumePlen_LE_26 · Enter draw,2026-08-26,0,0,0,0
Parra_LE_26 · Enter draw,2026-08-26,0,0,0,0
Abdulnasser_LE_26 · Enter draw,2026-08-26,0,0,0,0
SalvadorDali_LE_26 · Enter draw,2026-08-26,268831,237408,3553,2013.73
ZengFanzhi_LE_26 · Enter draw,2026-08-26,0,0,0,0
Abdulnasser_LE_26 · Enter draw,2026-08-25,0,0,0,0
GlennLigon_LE_26 · Enter draw,2026-08-25,20094,18209,293,488.97
Inventory_Test_26,2026-08-25,0,0,0,0
JamesJean_Blossom_26 · Enter draw,2026-08-25,0,0,0,0
JaumePlen_LE_26 · Enter draw,2026-08-25,0,0,0,0
Parra_LE_26 · Enter draw,2026-08-25,0,0,0,0
PietMondrian_LE_26 · Enter draw,2026-08-25,0,0,0,0
SalvadorDali_LE_26 · Enter draw,2026-08-25,103241,89786,1328,805.95
ZengFanzhi_LE_26 · Enter draw,2026-08-25,0,0,0,0
GlennLigon_LE_26 · Enter draw,2026-08-24,31368,27953,559,690.4
Abdulnasser_LE_26 · Enter draw,2026-08-24,0,0,0,0
JamesJean_Blossom_26 · Enter draw,2026-08-24,0,0,0,0
JaumePlen_LE_26 · Enter draw,2026-08-24,0,0,0,0
Parra_LE_26 · Enter draw,2026-08-24,0,0,0,0
PietMondrian_LE_26 · Enter draw,2026-08-24,0,0,0,0
SalvadorDali_LE_26 · Enter draw,2026-08-24,237102,211361,2930,1551.55
ZengFanzhi_LE_26 · Enter draw,2026-08-24,0,0,0,0
Parra_LE_26 · Enter draw,2026-08-23,0,0,0,0
GlennLigon_LE_26 · Enter draw,2026-08-23,41371,37112,665,836.16
Inventory_Test_26,2026-08-23,0,0,0,0
JamesJean_Blossom_26 · Enter draw,2026-08-23,0,0,0,0
JaumePlen_LE_26 · Enter draw,2026-08-23,0,0,0,0
