release,product_title,order_date,channel,purchase_event,units_paid,units_private_room,prints_offered_paid,frames_paid
Abdulnasser Gharem · Hemisphere · 2026 Q3,Hemisphere,2026-07-23,AA Email Man,true,1,1,1,1.0
Abdulnasser Gharem · Hemisphere · 2026 Q3,Hemisphere,2026-07-23,Referral Other,true,1,1,1,1.0
Abdulnasser Gharem · Hemisphere · 2026 Q3,Hemisphere,2026-07-24,Referral Other,true,1,1,1,0.0
Abdulnasser Gharem · Hemisphere · 2026 Q3,Hemisphere,2026-07-29,AA Meta,true,1,0,1,0.0
Abdulnasser Gharem · Hemisphere · 2026 Q3,Hemisphere,2026-07-31,AA Email Man,true,1,0,1,1.0
Abdulnasser Gharem · Hemisphere · 2026 Q3,Hemisphere,2026-07-31,Organic Search,true,1,0,1,1.0
Abdulnasser Gharem · Hemisphere · 2026 Q3,Hemisphere,2026-07-31,Paid Social,true,1,0,1,1.0
Abdulnasser Gharem · Hemisphere · 2026 Q3,Hemisphere,2026-08-03,AA Meta,true,1,0,1,1.0
Abdulnasser Gharem · Hemisphere · 2026 Q3,Hemisphere,2026-08-06,Other,true,1,0,1,1.0
Abdulnasser Gharem · Hemisphere · 2026 Q3,Hemisphere,2026-08-07,AA Email Man,true,1,0,1,0.0
Abdulnasser Gharem · Hemisphere · 2026 Q3,Hemisphere,2026-08-10,Paid Social,true,1,0,1,0.0
Abdulnasser Gharem · Hemisphere · 2026 Q3,Hemisphere,2026-08-13,Referral Artist,true,1,0,1,0.0
Abdulnasser Gharem · Hemisphere · 2026 Q3,Hemisphere,2026-08-14,Paid Social,true,2,0,2,2.0
Abdulnasser Gharem · Hemisphere · 2026 Q3,Hemisphere,2026-08-18,untracked,true,5,0,5,0.0
Abdulnasser Gharem · Hemisphere · 2026 Q3,Hemisphere,2026-08-25,Paid Social,true,1,0,1,1.0
Adam Pendleton · Multiple · 2025 Q1,Untitled (Blue Amphora),2024-12-12,Direct,true,1,0,0,0.0
Adam Pendleton · Multiple · 2025 Q1,Untitled (Blue Amphora),2024-12-19,AA Email Man,true,1,0,0,0.0
Adam Pendleton · Multiple · 2025 Q1,Untitled (Blue Amphora),2025-01-28,AA Email Man,true,1,0,0,0.0
Adam Pendleton · Multiple · 2025 Q1,Untitled (Blue Amphora),2025-01-28,Direct,true,1,0,0,0.0
Adam Pendleton · Multiple · 2025 Q1,Untitled (Blue Amphora),2025-01-28,Organic Search,true,1,0,0,0.0
Adam Pendleton · Multiple · 2025 Q1,Untitled (Blue Amphora),2025-01-28,Paid Social,true,4,0,0,0.0
Adam Pendleton · Multiple · 2025 Q1,Untitled (Blue Amphora),2025-01-28,Referral Other,true,1,0,0,0.0
Ahmed Mater · Magnetism 25 · 2025 Q4,Magnetism 25,2025-10-03,Untracked,false,3,3,3,3.0
Ahmed Mater · Magnetism 25 · 2025 Q4,Magnetism 25,2025-10-08,Untracked,false,1,1,1,1.0
Ahmed Mater · Magnetism 25 · 2025 Q4,Magnetism 25,2025-10-20,Untracked,false,1,0,1,1.0
Ahmed Mater · Magnetism 25 · 2025 Q4,Magnetism 25,2025-10-21,Untracked,false,35,0,35,30.0
Ahmed Mater · Multiple · 2026 Q3,Hurriya,2026-07-06,AA Meta,true,1,0,1,1.0
Ahmed Mater · Multiple · 2026 Q3,Hurriya,2026-07-06,Direct,true,1,0,1,1.0
Ahmed Mater · Multiple · 2026 Q3,Hurriya,2026-07-06,Organic Search,true,1,0,1,1.0
Ahmed Mater · Multiple · 2026 Q3,Hurriya,2026-07-06,Referral Artist,true,2,1,2,2.0
Ahmed Mater · Multiple · 2026 Q3,Hurriya,2026-07-13,Organic Search,true,1,0,1,1.0
Ahmed Mater · Multiple · 2026 Q3,Hurriya,2026-08-25,AA Email Man,true,1,0,1,0.0
Ahmed Mater · Multiple · 2026 Q3,Ray,2026-07-06,AA Email Man,true,1,0,1,0.0
Ahmed Mater · Multiple · 2026 Q3,Ray,2026-07-06,AA Meta,true,1,0,1,1.0
Ahmed Mater · Multiple · 2026 Q3,Ray,2026-07-06,Referral Artist,true,3,1,3,3.0
Ahmed Mater · Multiple · 2026 Q3,Ray,2026-07-22,Organic Search,true,1,0,1,0.0
Ahmed Mater · Multiple · 2026 Q3,Ray,2026-07-27,Direct,true,1,0,1,0.0
Ahmed Mater · Multiple · 2026 Q3,Ray,2026-08-25,AA Email Man,true,1,0,1,0.0
Ahmed Mater · Multiple · 2026 Q3,Salam,2026-07-01,Referral Other,true,1,1,1,1.0
Ahmed Mater · Multiple · 2026 Q3,Salam,2026-07-02,Organic Search,true,1,0,1,0.0
Ahmed Mater · Multiple · 2026 Q3,Salam,2026-07-02,Referral Other,true,1,1,1,1.0
Ahmed Mater · Multiple · 2026 Q3,Salam,2026-07-03,Referral Other,true,1,1,1,1.0
Ahmed Mater · Multiple · 2026 Q3,Salam,2026-07-04,Referral Artist,true,1,1,1,1.0
Ahmed Mater · Multiple · 2026 Q3,Salam,2026-07-04,Referral Other,true,1,1,1,1.0
Ahmed Mater · Multiple · 2026 Q3,Salam,2026-07-06,AA Email Man,true,2,0,2,1.0
Ahmed Mater · Multiple · 2026 Q3,Salam,2026-07-06,Referral Artist,true,1,0,1,1.0
Ahmed Mater · Multiple · 2026 Q3,Salam,2026-07-08,AA Email Man,true,1,0,1,1.0
Ahmed Mater · Multiple · 2026 Q3,Salam,2026-07-08,AA Meta,true,1,0,1,0.0
Ahmed Mater · Multiple · 2026 Q3,Salam,2026-07-09,AA Meta,true,1,0,1,1.0
Ahmed Mater · Multiple · 2026 Q3,Salam,2026-07-17,Referral Artist,true,1,0,1,1.0
Ahmed Mater · Multiple · 2026 Q3,Salam,2026-07-24,Paid Social,true,1,0,1,0.0
Ahmed Mater · Multiple · 2026 Q3,Salam,2026-07-27,AA Email Man,true,1,0,1,0.0
Ahmed Mater · Multiple · 2026 Q3,Salam,2026-07-27,Referral Other,true,1,0,1,1.0
Ahmed Mater · Multiple · 2026 Q3,Salam,2026-07-28,AA Meta,true,2,0,2,2.0
Ahmed Mater · Multiple · 2026 Q3,Salam,2026-07-28,Direct,true,1,0,1,1.0
Ahmed Mater · Multiple · 2026 Q3,Salam,2026-08-25,AA Email Man,true,1,0,1,0.0
Ahmed Mater · Multiple · 2026 Q3,Salam,2026-09-18,Referral Other,true,1,0,1,0.0
Ai Weiwei · Arm · Multiple · 2026 Q2,Blue Arm,2026-03-30,Referral Other,true,6,6,0,0.0
Ai Weiwei · Arm · Multiple · 2026 Q2,Blue Arm,2026-03-30,untracked,true,1,1,0,0.0
Ai Weiwei · Arm · Multiple · 2026 Q2,Blue Arm,2026-03-31,Direct,true,1,0,0,0.0
Ai Weiwei · Arm · Multiple · 2026 Q2,Blue Arm,2026-03-31,Referral Other,true,1,1,0,0.0
Ai Weiwei · Arm · Multiple · 2026 Q2,Blue Arm,2026-04-02,AA Email Man,true,6,0,0,0.0
Ai Weiwei · Arm · Multiple · 2026 Q2,Blue Arm,2026-04-03,AA Email Man,true,1,0,0,0.0
Ai Weiwei · Arm · Multiple · 2026 Q2,Blue Arm,2026-04-05,Direct,true,1,0,0,0.0
Ai Weiwei · Arm · Multiple · 2026 Q2,Blue Arm,2026-04-08,AA Email Man,true,1,0,0,0.0
Ai Weiwei · Arm · Multiple · 2026 Q2,Blue Arm,2026-04-09,AA Email Auto,true,3,0,0,0.0
Ai Weiwei · Arm · Multiple · 2026 Q2,Blue Arm,2026-04-09,AA Email Man,true,5,0,0,0.0
Ai Weiwei · Arm · Multiple · 2026 Q2,Blue Arm,2026-04-09,Direct,true,2,0,0,0.0
Ai Weiwei · Arm · Multiple · 2026 Q2,Blue Arm,2026-04-09,Organic Search,true,2,0,0,0.0
Ai Weiwei · Arm · Multiple · 2026 Q2,Blue Arm,2026-04-10,AA Email Man,true,1,0,0,0.0
Ai Weiwei · Arm · Multiple · 2026 Q2,Blue Arm,2026-04-10,Organic Search,true,1,0,0,0.0
Ai Weiwei · Arm · Multiple · 2026 Q2,Blue Arm,2026-04-13,untracked,true,1,0,0,0.0
Ai Weiwei · Arm · Multiple · 2026 Q2,Blue Arm,2026-04-22,AA Email Man,true,8,0,0,0.0
Ai Weiwei · Arm · Multiple · 2026 Q2,Blue Arm,2026-04-22,AA Meta,true,1,0,0,0.0
Ai Weiwei · Arm · Multiple · 2026 Q2,Blue Arm,2026-04-22,Direct,true,1,0,0,0.0
Ai Weiwei · Arm · Multiple · 2026 Q2,Blue Arm,2026-04-22,Organic Search,true,1,0,0,0.0
Ai Weiwei · Arm · Multiple · 2026 Q2,Blue Arm,2026-04-22,Paid Social,true,3,0,0,0.0
Ai Weiwei · Arm · Multiple · 2026 Q2,Blue Arm,2026-04-22,untracked,true,1,0,0,0.0
Ai Weiwei · Arm · Multiple · 2026 Q2,Red Arm,2026-03-30,AA Email Auto,true,1,1,0,0.0
Ai Weiwei · Arm · Multiple · 2026 Q2,Red Arm,2026-03-30,Referral Other,true,4,4,0,0.0
Ai Weiwei · Arm · Multiple · 2026 Q2,Red Arm,2026-03-30,untracked,true,1,1,0,0.0
Ai Weiwei · Arm · Multiple · 2026 Q2,Red Arm,2026-03-31,AA Email Auto,true,1,1,0,0.0
Ai Weiwei · Arm · Multiple · 2026 Q2,Red Arm,2026-04-02,AA Email Man,true,8,0,0,0.0
Ai Weiwei · Arm · Multiple · 2026 Q2,Red Arm,2026-04-02,Direct,true,1,0,0,0.0
Ai Weiwei · Arm · Multiple · 2026 Q2,Red Arm,2026-04-02,Organic Search,true,1,0,0,0.0
Ai Weiwei · Arm · Multiple · 2026 Q2,Red Arm,2026-04-03,AA Email Man,true,1,0,0,0.0
Ai Weiwei · Arm · Multiple · 2026 Q2,Red Arm,2026-04-07,AA Email Auto,true,1,0,0,0.0
Ai Weiwei · Arm · Multiple · 2026 Q2,Red Arm,2026-04-09,AA Email Man,true,4,0,0,0.0
Ai Weiwei · Arm · Multiple · 2026 Q2,Red Arm,2026-04-09,Direct,true,2,0,0,0.0
Ai Weiwei · Arm · Multiple · 2026 Q2,Red Arm,2026-04-09,Paid Social,true,3,0,0,0.0
Ai Weiwei · Arm · Multiple · 2026 Q2,Red Arm,2026-04-15,Direct,true,1,0,0,0.0
Ai Weiwei · Arm · Multiple · 2026 Q2,Red Arm,2026-04-15,Organic Search,true,1,0,0,0.0
Ai Weiwei · Arm · Multiple · 2026 Q2,Red Arm,2026-04-15,Paid Social,true,3,0,0,0.0
Ai Weiwei · Arm · Multiple · 2026 Q2,Red Arm,2026-04-17,Paid Social,true,2,0,0,0.0
Ai Weiwei · Arm · Multiple · 2026 Q2,Red Arm,2026-04-22,AA Email Man,true,3,0,0,0.0
Ai Weiwei · Arm · Multiple · 2026 Q2,Red Arm,2026-04-22,Direct,true,2,0,0,0.0
Ai Weiwei · Arm · Multiple · 2026 Q2,Red Arm,2026-04-22,Organic Search,true,3,0,0,0.0
Ai Weiwei · Arm · Multiple · 2026 Q2,Red Arm,2026-04-22,Paid Social,true,4,0,0,0.0
Ai Weiwei · Arm · Multiple · 2026 Q2,Red Arm,2026-04-23,Paid Social,true,1,0,0,0.0
Ai Weiwei · Arm · Multiple · 2026 Q2,Red Arm & Blue Arm,2026-03-30,AA Email Auto,true,1,1,0,0.0
Ai Weiwei · Arm · Multiple · 2026 Q2,Red Arm & Blue Arm,2026-03-30,AA Email Man,true,1,1,0,0.0
Ai Weiwei · Arm · Multiple · 2026 Q2,Red Arm & Blue Arm,2026-03-30,Referral Other,true,4,4,0,0.0
Ai Weiwei · Arm · Multiple · 2026 Q2,Red Arm & Blue Arm,2026-03-30,untracked,true,1,1,0,0.0
Ai Weiwei · Arm · Multiple · 2026 Q2,Red Arm & Blue Arm,2026-03-31,AA Email Auto,true,1,1,0,0.0
Ai Weiwei · Arm · Multiple · 2026 Q2,Red Arm & Blue Arm,2026-04-02,AA Email Man,true,11,0,0,0.0
Ai Weiwei · Arm · Multiple · 2026 Q2,Red Arm & Blue Arm,2026-04-02,AA Meta,true,1,0,0,0.0
Ai Weiwei · Arm · Multiple · 2026 Q2,Red Arm & Blue Arm,2026-04-02,Direct,true,2,0,0,0.0
Ai Weiwei · Arm · Multiple · 2026 Q2,Red Arm & Blue Arm,2026-04-02,Organic Search,true,2,0,0,0.0
Ai Weiwei · Arm · Multiple · 2026 Q2,Red Arm & Blue Arm,2026-04-03,Direct,true,1,0,0,0.0
Ai Weiwei · Arm · Multiple · 2026 Q2,Red Arm & Blue Arm,2026-04-09,AA Email Man,true,1,0,0,0.0
Ai Weiwei · Arm · Multiple · 2026 Q2,Red Arm & Blue Arm,2026-04-09,AA Meta,true,1,0,0,0.0
Ai Weiwei · Arm · Multiple · 2026 Q2,Red Arm & Blue Arm,2026-04-09,Direct,true,4,0,0,0.0
