Email Name,Send Date (Your time zone),Campaign,Delivered,Opened,Clicked,Unsubscribed
130826_CUS_GlennLigon_LE_26 - Early Access (LE) 1,2026-08-14 18:00:06,GlennLigon_LE_26,74,46,37,0
130826_CUS_GlennLigon_LE_26 - Early Access (LE) 3,2026-08-14 18:00:31,GlennLigon_LE_26,2939,589,271,1
130826_CUS_GlennLigon_LE_26 - Early Access (LE) 2,2026-08-14 18:00:03,GlennLigon_LE_26,4305,892,406,4
140826_TRNS_JeffKoons_LE_25 - On track (Batch 1),2026-08-14 17:00:36,JeffKoons_LE_25,35,10,0,0
130826_TRNS_ZengFanzhi_LE_26 - New estimated dispatch (Ordered before 07/08 delayed),2026-08-14 09:00:51,ZengFanzhi_LE_26,18,9,0,0
130826_TRNS_ZengFanzhi_LE_26 - New estimated dispatch (Ordered before 07/08 delayed) (Unframed),2026-08-14 09:00:48,ZengFanzhi_LE_26,7,2,0,0
110826_CUS_New_Feature_Test - Releases page spotlight,2026-08-13 16:20:04,,0,0,0,0
110826_CUS_New_Feature_Test - Releases page spotlight (From Sam),2026-08-13 16:19:42,,0,0,0,0
120826_TRNS_ShirinNeshat_TL_26 - Framed & preparing for dispatch delay PP (framed),2026-08-12 17:00:47,ShirinNeshat_TL_26,111,50,1,0
120826_TRNS_TakashiMu_LE_26 - Signed PP (unframed),2026-08-12 17:00:36,TakashiMu_LE_26,269,138,5,0
120826_TRNS_JeanMichel_LE_25 - New estimated dispatch (30 delayed units),2026-08-12 17:00:27,JeanMichel_LE_25,32,15,1,0
120826_TRNS_TakashiMu_LE_26 - Signed PP (framed),2026-08-12 17:00:28,TakashiMu_LE_26,408,171,5,0
110826_CUS_Albers_LE_26 - Thank you from The Josef and Anni Albers Foundation,2026-08-11 17:00:19,Albers_LE_26,852,314,8,0
100826_TRNS_Maurizio_NonaOra_26 - On track v2,2026-08-10 17:00:56,Maurizio_NonaOra_26,638,261,5,0
100826_TRNS_ AiWeiwei_Guardian2_26 - Signing PP (framed),2026-08-10 16:02:08,AiWeiwei_Guardian2_26,208,97,2,0
060826_TRNS_Grayson Perry - Preparing for dispatch PP (framed),2026-08-10 15:00:36,GraysonPerry_TL_25,204,95,3,0
100826_CUS_Abdulnasser_LE_26 - Announcement (LE) (re-send to exclusions),2026-08-10 14:00:11,Abdulnasser_LE_26,2852,448,56,5
AUT_JaumePlen_LE_26 - Non-purchaser survey (LE),2026-08-07 11:53:04,JaumePlen_LE_26,623,99,26,12
AUT_JaumePlen_LE_26 - Survey repeat buyers (LE),2026-08-07 11:46:51,JaumePlen_LE_26,37,25,9,0
AUT_JaumePlen_LE_26 - Survey first time collectors (LE),2026-08-07 11:41:03,JaumePlen_LE_26,139,68,29,1
AUT_90day_Personalised_track - Day 30,2026-08-07 10:51:48,90day_Personalised_track,635,204,0,3
060826_TRNS_GregoryCrewd_TL_26 - Printing PP (unframed),2026-08-06 17:00:47,GregoryCrewd_TL_26,1187,426,7,0
060826_TRNS_GregoryCrewd_TL_26 - Printing PP (framed),2026-08-06 17:00:58,GregoryCrewd_TL_26,468,163,2,0
060826_TRNS_ AiWeiwei_Guardian2_26 - Signing PP (unframed),2026-08-06 16:00:26,AiWeiwei_Guardian2_26,603,245,6,0
060826_TRNS_ CindySher_LE_26 - Signing PP (unframed),2026-08-06 16:00:21,CindySher_LE_26,238,82,0,0
060826_TRNS_ CindySher_LE_26 - Signing PP (framed),2026-08-06 16:00:21,CindySher_LE_26,245,78,6,0
"060826_GEN_LE_Bundle - Piet Parra, Zeng Fanzhi, Abdulnasser Gharem",2026-08-06 14:00:48,FREQ_LE_Bundle,135579,13527,929,327
060826_CUS_TschabalalaSelf_Tapestry - Announcement (LE) (Artists & Editions),2026-08-05 17:00:22,Tschabalal_LE_25,105,16,8,0
060826_CUS_TschabalalaSelf_Tapestry - Announcement (LE),2026-08-05 17:00:46,Tschabalal_LE_25,2296,312,114,3
050826_TRNS_HankWillisT_LE_26 - Printing PP (unframed),2026-08-05 14:00:24,HankWillisT_LE_26,147,56,1,0
050826_TRNS_HankWillisT_LE_26 - Printing PP (framed),2026-08-05 14:00:04,HankWillisT_LE_26,144,49,0,0
050826_TRNS_LY_LE_26 - Framing PP (framed),2026-08-05 10:00:16,,23,7,0,0
040826_TRNS_Maurizio_Therapy_26 - Preparing for dispatch PP (unframed),2026-08-04 17:00:59,Maurizio_Therapy_26,183,93,7,0
040726_TRNS_JeanMichel_LE_25 - Preparing for dispatch (Batch 2 – on track orders),2026-08-04 17:00:50,JeanMichel_LE_25,52,18,3,0
040826_GEN_PietMondrian_LE_26 - Sustain (LE) V2,2026-08-04 14:00:14,PietMondrian_LE_26,53300,14144,1634,220
030826_CUS_JamesJean_Blossom_26 - Announcement (LE) Mop Up V2,2026-08-03 17:00:58,JamesJean_Blossom_26,25437,4339,468,74
310726_TRNS_AiWeiwei_NVase_25 - An update on your order PP (Batch 1 - Not Shipped 310726)),2026-07-31 15:30:12,AiWeiwei_NVase_25,20,9,0,0
310726_GEN_Parra_LE_26 - Announcement (LE) V2,2026-07-31 15:00:20,Parra_LE_26,136775,12631,1516,401
310726_TRNS_JohnsonTs_Alliance_26 - Production in progress,2026-07-31 13:00:21,JohnsonTs_Alliance_26,197,71,2,0
300726_GEN_JamesJean_Blossom_26 - Announcement (LE),2026-07-30 17:00:13,JamesJean_Blossom_26,111325,9152,785,341
AUT_Backside_LE_26 - Survey first time collectors (LE),2026-07-30 16:53:15,Backside_LE_26,18,13,5,0
